[EXP] 0: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 61: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 62: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 63: [success_rate]: 0, [progress_rate]: 0.49999999999999994, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.3333333333333333), (2, 0.41666666666666663), (6, 0.49999999999999994)] 
[EXP] 64: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 65: [success_rate]: 0, [progress_rate]: 0.49999999999999994, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.41666666666666663), (3, 0.49999999999999994)] 
[EXP] 66: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 67: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 68: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 69: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.5), (3, 0.75)] 
[EXP] 70: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 71: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 72: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 73: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (3, 0.5555555555555556)] 
[EXP] 74: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 75: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 76: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 77: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 78: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (5, 0.6666666666666666)] 
[EXP] 79: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8333333333333333)] 
[EXP] 80: [success_rate]: 0, [progress_rate]: 0.03333333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.03333333333333333)] 
[EXP] 81: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 82: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 83: [success_rate]: 0, [progress_rate]: 0.8333333333333334, [grounding_acc]: 1.0, [score_state]: [(1, 0.2777777777777778), (2, 0.5), (5, 0.8333333333333334)] 
[EXP] 84: [success_rate]: 0, [progress_rate]: 0.8, [grounding_acc]: 1.0, [score_state]: [(1, 0.26666666666666666), (2, 0.5333333333333333), (4, 0.8)] 
[EXP] 85: [success_rate]: 0, [progress_rate]: 0.41666666666666663, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (4, 0.41666666666666663)] 
[EXP] 86: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 87: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (5, 0.7777777777777778)] 
[EXP] 88: [success_rate]: 0, [progress_rate]: 0.5555555555555555, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.38888888888888884), (5, 0.5555555555555555)] 
[EXP] 89: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 90: [success_rate]: 0, [progress_rate]: 0.09999999999999999, [grounding_acc]: 1.0, [score_state]: [(1, 0.08333333333333333), (2, 0.09166666666666666), (5, 0.09999999999999999)] 
[EXP] 91: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.4444444444444444), (3, 0.5555555555555556)] 
[EXP] 92: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (4, 0.5)] 
[EXP] 93: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (4, 0.4444444444444444)] 
[EXP] 94: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 95: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 96: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (5, 0.5833333333333333)] 
[EXP] 97: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 98: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 99: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 100: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 101: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 102: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 103: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 104: [success_rate]: 0, [progress_rate]: 0.4666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.39999999999999997), (3, 0.4666666666666666)] 
[EXP] 105: [success_rate]: 0, [progress_rate]: 0.19999999999999998, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.18333333333333332), (3, 0.19999999999999998)] 
[EXP] 106: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 107: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 108: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 109: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 110: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (5, 0.6666666666666666)] 
[EXP] 111: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 112: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.1111111111111111), (4, 0.3333333333333333)] 
[EXP] 113: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 114: [success_rate]: 0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 115: [success_rate]: 0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 116: [success_rate]: 0, [progress_rate]: 0.7777777777777777, [grounding_acc]: 1.0, [score_state]: [(0, 0.6666666666666666), (3, 0.7777777777777777)] 
[EXP] 117: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.25), (3, 0.3333333333333333)] 
[EXP] 118: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (3, 0.6666666666666666)] 
[EXP] 119: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 120: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 121: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 122: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.3333333333333333), (3, 0.4444444444444444)] 
[EXP] 123: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 124: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 125: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 126: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 127: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 128: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 129: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 130: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 131: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (5, 1.0)] 
[EXP] 132: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
[EXP] 133: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 134: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 135: [success_rate]: 0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 136: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 137: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 138: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 1.0)] 
[EXP] 139: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (5, 0.75)] 
[EXP] 140: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [(1, 0.25)] 
[EXP] 141: [success_rate]: 0, [progress_rate]: 0.041666666666666664, [grounding_acc]: 1.0, [score_state]: [(1, 0.041666666666666664)] 
[EXP] 142: [success_rate]: 0, [progress_rate]: 0.41666666666666663, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (4, 0.41666666666666663)] 
[EXP] 143: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 144: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (3, 0.6666666666666666)] 
[EXP] 145: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.2222222222222222), (2, 0.4444444444444444), (6, 0.5555555555555556), (8, 0.7777777777777778)] 
[EXP] 146: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 147: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (3, 0.5)] 
[EXP] 148: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.19999999999999998), (2, 0.26666666666666666), (4, 0.3333333333333333)] 
[EXP] 149: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
