[EXP] 0: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.16666666666666666, [score_state]: [] 
[EXP] 80: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 81: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 82: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 83: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 84: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 85: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 86: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 87: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 88: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 89: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
