[EXP] 0: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 17: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 18: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 19: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 20: [success_rate]: 0.0, [progress_rate]: 0.2, [grounding_acc]: 0.875, [score_state]: [] 
[EXP] 21: [success_rate]: 0.0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 22: [success_rate]: 0.0, [progress_rate]: 0.2, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 23: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.6129032258064516, [score_state]: [] 
[EXP] 24: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 25: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.875, [score_state]: [] 
[EXP] 26: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 27: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 28: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 29: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 30: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 31: [success_rate]: 0.0, [progress_rate]: 1.0, [grounding_acc]: 0.9354838709677419, [score_state]: [] 
[EXP] 32: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 33: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.5161290322580645, [score_state]: [] 
[EXP] 34: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 35: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.9375, [score_state]: [] 
[EXP] 36: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.9545454545454546, [score_state]: [] 
[EXP] 37: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 38: [success_rate]: 0.0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.8333333333333334, [score_state]: [] 
[EXP] 39: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 0.4166666666666667, [score_state]: [] 
[EXP] 40: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 41: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 0.45454545454545453, [score_state]: [] 
[EXP] 42: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 43: [success_rate]: 0.0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 44: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 45: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 46: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 47: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 48: [success_rate]: 0.0, [progress_rate]: 0.4, [grounding_acc]: 0.5483870967741935, [score_state]: [] 
[EXP] 49: [success_rate]: 0.0, [progress_rate]: 0.4, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 50: [success_rate]: 0.0, [progress_rate]: 0.4, [grounding_acc]: 0.5483870967741935, [score_state]: [] 
[EXP] 51: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 52: [success_rate]: 0.0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 53: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 54: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 55: [success_rate]: 0.0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 56: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 57: [success_rate]: 0.0, [progress_rate]: 0.125, [grounding_acc]: 0.46153846153846156, [score_state]: [] 
[EXP] 58: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 59: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 60: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 61: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.7419354838709677, [score_state]: [] 
[EXP] 62: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 63: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.8823529411764706, [score_state]: [] 
[EXP] 64: [success_rate]: 0.0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 65: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.9354838709677419, [score_state]: [] 
[EXP] 66: [success_rate]: 0.0, [progress_rate]: 0.8, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 67: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.125, [score_state]: [] 
[EXP] 68: [success_rate]: 0.0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 69: [success_rate]: 0.0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 70: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 71: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 72: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 73: [success_rate]: 0.0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 74: [success_rate]: 0.0, [progress_rate]: 0.2857142857142857, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 75: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.5, [score_state]: [] 
[EXP] 76: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.47619047619047616, [score_state]: [] 
[EXP] 77: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.46153846153846156, [score_state]: [] 
[EXP] 78: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.5862068965517241, [score_state]: [] 
[EXP] 79: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 80: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 81: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.9166666666666666, [score_state]: [] 
[EXP] 82: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 83: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 84: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 85: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 86: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 87: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 88: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 89: [success_rate]: 0.0, [progress_rate]: 0.125, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 90: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 91: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 92: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 93: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 94: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 95: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 96: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 97: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 98: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 99: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 100: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 101: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 102: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 103: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.14285714285714285, [score_state]: [] 
[EXP] 104: [success_rate]: 0.0, [progress_rate]: 0.25, [grounding_acc]: 0.125, [score_state]: [] 
