[EXP] 0: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 68: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 69: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 70: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 71: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 72: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 73: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 74: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 75: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 76: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 77: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 78: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 79: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 80: [success_rate]: 0, [progress_rate]: 0.03333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 81: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 82: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 83: [success_rate]: 0, [progress_rate]: 0.7222222222222222, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 84: [success_rate]: 0, [progress_rate]: 0.8, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 85: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 86: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 87: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 88: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 89: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 90: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 91: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 92: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 93: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 94: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 95: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 96: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 97: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 98: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 99: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 100: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 101: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 102: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 103: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 104: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 105: [success_rate]: 0, [progress_rate]: 0.07500000000000001, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 106: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 107: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 108: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 109: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 110: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 111: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 112: [success_rate]: 0, [progress_rate]: 0.06666666666666667, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 113: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 114: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 115: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 116: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 117: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 118: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 119: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 120: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 121: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 122: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 123: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 124: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 125: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 126: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 127: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 128: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 129: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 130: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 131: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 132: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 133: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 134: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 135: [success_rate]: 0, [progress_rate]: 0.41666666666666663, [grounding_acc]: 0.9, [score_state]: [] 
[EXP] 136: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 137: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 138: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 139: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 140: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 141: [success_rate]: 0, [progress_rate]: 0.125, [grounding_acc]: 0.9090909090909091, [score_state]: [] 
[EXP] 142: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 143: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 144: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 145: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 146: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 147: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 148: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 149: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 150: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 151: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 152: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 153: [success_rate]: 0, [progress_rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 154: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.7142857142857143, [score_state]: [] 
[EXP] 155: [success_rate]: 0, [progress_rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 156: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 157: [success_rate]: 0, [progress_rate]: 0.7499999999999999, [grounding_acc]: 0.75, [score_state]: [] 
[EXP] 158: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 159: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 160: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 161: [success_rate]: 0, [progress_rate]: 0.1, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 162: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 163: [success_rate]: 0, [progress_rate]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 164: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 165: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 166: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.17857142857142858, [score_state]: [] 
[EXP] 167: [success_rate]: 0, [progress_rate]: 0.26666666666666666, [grounding_acc]: 0.4, [score_state]: [] 
[EXP] 168: [success_rate]: 0, [progress_rate]: 0.8, [grounding_acc]: 0.8125, [score_state]: [] 
[EXP] 169: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 170: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 171: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 172: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 173: [success_rate]: 0, [progress_rate]: 0.0, [grounding_acc]: 0.6, [score_state]: [] 
[EXP] 174: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 175: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 176: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 177: [success_rate]: 0, [progress_rate]: 0.05, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 178: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 179: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 180: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 181: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 182: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 183: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 184: [success_rate]: 0, [progress_rate]: 0.26666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 185: [success_rate]: 0, [progress_rate]: 0.016666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 186: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 187: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 188: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 189: [success_rate]: 0, [progress_rate]: 0.4666666666666667, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 190: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 191: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 192: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 193: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8571428571428571, [score_state]: [] 
[EXP] 194: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 195: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 196: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 197: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 198: [success_rate]: 0, [progress_rate]: 0.03333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 199: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 200: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 201: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 202: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 203: [success_rate]: 0, [progress_rate]: 0.26666666666666666, [grounding_acc]: 0.7666666666666667, [score_state]: [] 
[EXP] 204: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 205: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 206: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 207: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 208: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 209: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 210: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 211: [success_rate]: 0, [progress_rate]: 0.8, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 212: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 213: [success_rate]: 0, [progress_rate]: 0.29166666666666663, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 214: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 215: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 216: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 217: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 218: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 219: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 220: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 221: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 222: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 223: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 224: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 225: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 226: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 227: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 228: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 229: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 230: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 231: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 232: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 233: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 234: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 235: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 236: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 237: [success_rate]: 0, [progress_rate]: 0.13333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 238: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 0.7333333333333333, [score_state]: [] 
[EXP] 239: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 240: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 1.0, [score_state]: [] 
