[EXP] 0: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 75: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 76: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.3, [score_state]: [] 
[EXP] 77: [success_rate]: 0.0, [progress_rate]: 0.5, [grounding_acc]: 0.06666666666666667, [score_state]: [] 
[EXP] 78: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 0.058823529411764705, [score_state]: [] 
[EXP] 79: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 80: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 0.2, [score_state]: [] 
[EXP] 81: [success_rate]: 0.0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 82: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 83: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 0.3333333333333333, [score_state]: [] 
[EXP] 84: [success_rate]: 1.0, [progress_rate]: 1.0, [grounding_acc]: 0.0625, [score_state]: [] 
[EXP] 85: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 86: [success_rate]: 0.0, [progress_rate]: 0.5714285714285714, [grounding_acc]: 0.03333333333333333, [score_state]: [] 
[EXP] 87: [success_rate]: 0.0, [progress_rate]: 0.2857142857142857, [grounding_acc]: 0.1, [score_state]: [] 
[EXP] 88: [success_rate]: 0.0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 89: [success_rate]: 0.0, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
