[EXP] 0: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (4, 0.5)] 
[EXP] 16: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 17: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.9, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (9, 0.8888888888888888)] 
[EXP] 18: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 19: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (4, 0.5)] 
[EXP] 20: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 21: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.9285714285714286, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (13, 0.8888888888888888)] 
[EXP] 22: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.875, [score_state]: [(1, 0.2222222222222222), (3, 0.4444444444444444), (7, 0.6666666666666666)] 
[EXP] 23: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.3333333333333333), (3, 0.4444444444444444), (5, 0.5555555555555556)] 
[EXP] 24: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.25), (2, 0.3333333333333333), (5, 0.5)] 
[EXP] 25: [success_rate]: 0, [progress_rate]: 0.7999999999999999, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (15, 0.7999999999999999)] 
[EXP] 26: [success_rate]: 0, [progress_rate]: 0.7333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5333333333333333), (3, 0.7333333333333333)] 
[EXP] 27: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.875, [score_state]: [(1, 0.2222222222222222), (3, 0.4444444444444444), (7, 0.6666666666666666)] 
[EXP] 28: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.875, [score_state]: [(1, 0.2222222222222222), (3, 0.4444444444444444), (7, 0.6666666666666666)] 
[EXP] 29: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.7777777777777778, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (8, 0.8333333333333333)] 
[EXP] 30: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 31: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 32: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (3, 0.5), (4, 0.75)] 
[EXP] 33: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 34: [success_rate]: 0, [progress_rate]: 0.2333333333333333, [grounding_acc]: 0.8421052631578947, [score_state]: [(1, 0.16666666666666666), (5, 0.19999999999999998), (18, 0.2333333333333333)] 
[EXP] 35: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (8, 0.8333333333333333)] 
[EXP] 36: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (9, 0.5)] 
[EXP] 37: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 1.0)] 
[EXP] 38: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 0.5714285714285714, [score_state]: [(1, 0.25), (5, 0.5), (6, 0.75)] 
[EXP] 39: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.6818181818181818, [score_state]: [(1, 0.1111111111111111), (3, 0.2222222222222222), (21, 0.3333333333333333)] 
[EXP] 40: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 41: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 0.9090909090909091, [score_state]: [(1, 0.25), (3, 0.5), (10, 0.75)] 
[EXP] 42: [success_rate]: 0, [progress_rate]: 0.0, [grounding_acc]: 0.9090909090909091, [score_state]: [] 
[EXP] 43: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8333333333333333)] 
[EXP] 44: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 0.8, [score_state]: [(1, 0.2222222222222222), (3, 0.3333333333333333), (4, 0.4444444444444444)] 
[EXP] 45: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 46: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 47: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.5714285714285714, [score_state]: [(1, 0.3333333333333333), (5, 0.6666666666666666), (6, 0.8888888888888888)] 
[EXP] 48: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (8, 1.0)] 
[EXP] 49: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.36666666666666664), (5, 0.6666666666666666), (6, 1.0)] 
[EXP] 50: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (4, 0.5)] 
[EXP] 51: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 52: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 53: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 54: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8333333333333333)] 
[EXP] 55: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 56: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.9285714285714286, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (13, 0.8888888888888888)] 
[EXP] 57: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.9285714285714286, [score_state]: [(1, 0.3333333333333333), (3, 0.5), (13, 0.6666666666666666)] 
[EXP] 58: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.2222222222222222), (3, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 59: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (5, 0.5)] 
[EXP] 60: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 61: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (5, 0.7777777777777778)] 
[EXP] 62: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 63: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.7333333333333333, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666)] 
[EXP] 64: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 1.0)] 
[EXP] 65: [success_rate]: 0, [progress_rate]: 0.49999999999999994, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (3, 0.41666666666666663), (4, 0.49999999999999994)] 
[EXP] 66: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 67: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 68: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.3333333333333333), (4, 0.6666666666666666), (6, 0.9166666666666666)] 
[EXP] 69: [success_rate]: 0, [progress_rate]: 0.75, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (3, 0.5), (4, 0.75)] 
[EXP] 70: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 71: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 72: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.9166666666666666)] 
[EXP] 73: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (7, 0.7777777777777778)] 
[EXP] 74: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 75: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8333333333333333)] 
[EXP] 76: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.875, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (7, 0.5)] 
[EXP] 77: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 78: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.2222222222222222), (3, 0.3333333333333333), (6, 0.6666666666666666)] 
[EXP] 79: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8333333333333333)] 
[EXP] 80: [success_rate]: 0, [progress_rate]: 0.23333333333333334, [grounding_acc]: 0.8, [score_state]: [(1, 0.09999999999999999), (3, 0.16666666666666666), (4, 0.23333333333333334)] 
[EXP] 81: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (7, 0.7777777777777778)] 
[EXP] 82: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.2222222222222222), (3, 0.4444444444444444), (4, 0.6666666666666666)] 
[EXP] 83: [success_rate]: 0, [progress_rate]: 0.7222222222222222, [grounding_acc]: 1.0, [score_state]: [(1, 0.2777777777777778), (2, 0.5), (5, 0.7222222222222222)] 
[EXP] 84: [success_rate]: 0, [progress_rate]: 0.9333333333333333, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (6, 0.9333333333333333)] 
[EXP] 85: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.6923076923076923, [score_state]: [(1, 0.3333333333333333), (6, 0.6666666666666666), (12, 0.9166666666666666)] 
[EXP] 86: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (5, 1.0)] 
[EXP] 87: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 88: [success_rate]: 0, [progress_rate]: 0.49999999999999994, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.2222222222222222), (4, 0.38888888888888884), (11, 0.49999999999999994)] 
[EXP] 89: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (5, 0.9166666666666666)] 
[EXP] 90: [success_rate]: 0, [progress_rate]: 0.25, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.08333333333333333), (2, 0.16666666666666666), (5, 0.25)] 
[EXP] 91: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 92: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (3, 0.41666666666666663), (4, 0.5833333333333333)] 
[EXP] 93: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.2222222222222222), (4, 0.3333333333333333), (5, 0.4444444444444444)] 
[EXP] 94: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (5, 1.0)] 
[EXP] 95: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 1.0)] 
[EXP] 96: [success_rate]: 0, [progress_rate]: 0.49999999999999994, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.25), (4, 0.41666666666666663), (5, 0.49999999999999994)] 
[EXP] 97: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.2222222222222222), (3, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 98: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 99: [success_rate]: 0, [progress_rate]: 0.49999999999999994, [grounding_acc]: 0.8, [score_state]: [(1, 0.25), (3, 0.41666666666666663), (4, 0.49999999999999994)] 
[EXP] 100: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(2, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 101: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (7, 1.0)] 
[EXP] 102: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.9166666666666666)] 
[EXP] 103: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 104: [success_rate]: 0, [progress_rate]: 0.9333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (9, 0.9333333333333333)] 
[EXP] 105: [success_rate]: 0, [progress_rate]: 0.19999999999999998, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.18333333333333332), (3, 0.19999999999999998)] 
[EXP] 106: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.8888888888888888)] 
[EXP] 107: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.1, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666)] 
[EXP] 108: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (3, 0.9166666666666666)] 
[EXP] 109: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (6, 0.8333333333333333)] 
[EXP] 110: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.6, [score_state]: [(1, 0.2222222222222222), (3, 0.3333333333333333), (14, 0.6666666666666666)] 
[EXP] 111: [success_rate]: 0, [progress_rate]: 0.6666666666666667, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (4, 0.6666666666666667)] 
[EXP] 112: [success_rate]: 0, [progress_rate]: 0.1111111111111111, [grounding_acc]: 0.8, [score_state]: [(1, 0.1111111111111111)] 
[EXP] 113: [success_rate]: 0, [progress_rate]: 0.9166666666666666, [grounding_acc]: 0.8181818181818182, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (10, 0.9166666666666666)] 
[EXP] 114: [success_rate]: 0, [progress_rate]: 0.6, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.4666666666666667), (4, 0.6)] 
[EXP] 115: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.8571428571428571, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (6, 1.0)] 
[EXP] 116: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.1111111111111111), (2, 0.2222222222222222), (4, 0.3333333333333333)] 
[EXP] 117: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (4, 0.5)] 
[EXP] 118: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (2, 0.5), (4, 0.6666666666666666)] 
[EXP] 119: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 0.9285714285714286, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (13, 1.0)] 
[EXP] 120: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.9, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (9, 0.8888888888888888)] 
[EXP] 121: [success_rate]: 0, [progress_rate]: 0.41666666666666663, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.25), (3, 0.41666666666666663)] 
[EXP] 122: [success_rate]: 0, [progress_rate]: 0.43888888888888883, [grounding_acc]: 0.9285714285714286, [score_state]: [(0, 0.41666666666666663), (13, 0.43888888888888883)] 
[EXP] 123: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 124: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8333333333333333)] 
[EXP] 125: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (4, 0.7777777777777778)] 
[EXP] 126: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 0.875, [score_state]: [(1, 0.3333333333333333)] 
[EXP] 127: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.6666666666666666, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (5, 0.7777777777777778)] 
[EXP] 128: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.3333333333333333), (7, 0.6666666666666666), (8, 0.8888888888888888)] 
[EXP] 129: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 1.0, [score_state]: [(1, 0.16666666666666666), (2, 0.3333333333333333), (6, 0.5)] 
[EXP] 130: [success_rate]: 0, [progress_rate]: 0.7499999999999999, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (4, 0.7499999999999999)] 
[EXP] 131: [success_rate]: 0, [progress_rate]: 0.36666666666666664, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.35), (4, 0.36666666666666664)] 
[EXP] 132: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.9285714285714286, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (13, 0.7777777777777778)] 
[EXP] 133: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [(4, 0.3333333333333333), (5, 0.6666666666666666), (9, 1.0)] 
[EXP] 134: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.6666666666666666), (4, 0.8888888888888888)] 
[EXP] 135: [success_rate]: 0, [progress_rate]: 0.5, [grounding_acc]: 0.8, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (4, 0.5)] 
[EXP] 136: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 0.8333333333333334, [score_state]: [(1, 0.3333333333333333), (3, 0.5555555555555556), (5, 0.7777777777777778)] 
[EXP] 137: [success_rate]: 0, [progress_rate]: 0.8888888888888888, [grounding_acc]: 0.8888888888888888, [score_state]: [(1, 0.3333333333333333), (2, 0.6666666666666666), (8, 0.8888888888888888)] 
[EXP] 138: [success_rate]: 0, [progress_rate]: 0.5555555555555556, [grounding_acc]: 0.8, [score_state]: [(1, 0.3333333333333333), (3, 0.4444444444444444), (4, 0.5555555555555556)] 
[EXP] 139: [success_rate]: 0, [progress_rate]: 0.7499999999999999, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5833333333333333), (3, 0.7499999999999999)] 
[EXP] 140: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 0.7272727272727273, [score_state]: [(1, 0.25), (2, 0.41666666666666663), (10, 0.5833333333333333)] 
[EXP] 141: [success_rate]: 0, [progress_rate]: 0.125, [grounding_acc]: 0.8, [score_state]: [(1, 0.041666666666666664), (2, 0.08333333333333333), (4, 0.125)] 
[EXP] 142: [success_rate]: 0, [progress_rate]: 0.41666666666666663, [grounding_acc]: 0.7142857142857143, [score_state]: [(1, 0.16666666666666666), (3, 0.3333333333333333), (6, 0.41666666666666663)] 
[EXP] 143: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [(1, 0.3333333333333333), (2, 0.5555555555555556), (3, 0.7777777777777778)] 
